ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Since,Total_Spending,Total_Children,AgeGroup,Cluster,KMeans_Cluster_Names,PCA1,PCA2,GMM_Cluster,GMM_Confidence,GMM_Cluster_Names
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,68,5111,1617,0,60-69,2,High-Value Store Loyalists,1.1075187977538656,-0.21175950728049706,1,0.6392991863038987,High-Value Store Customers
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,71,4561,27,2,70+,5,Low-Engagement Mature Customers,-1.336733845276155,0.26983899636667175,0,0.9086602789475458,Low-Value Customers
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,60,4760,776,0,50-59,2,High-Value Store Loyalists,1.8822767585181297,-1.0141609773717823,1,0.7465659176641751,High-Value Store Customers
6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,41,4587,53,1,40-49,0,Recent Low-Value Customers,-1.7843586614669256,-0.7049275919187111,0,0.9951163548187235,Low-Value Customers
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,44,4609,422,1,40-49,4,High-Value Omnichannel Customers,0.02036306593541001,1.2352648605074057,2,0.9903521975586013,Mid-Value Active Customers
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,58,4741,716,1,50-59,2,High-Value Store Loyalists,1.0601458870627212,-1.3787651745281977,1,0.5594184789240224,High-Value Store Customers
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,54,5041,590,1,50-59,2,High-Value Store Loyalists,0.4758301365344182,-0.9050228868216729,2,0.9221894256294508,Mid-Value Active Customers
6177,1985,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,40,4865,169,1,30-39,0,Recent Low-Value Customers,-1.6112845995067973,-0.9693504417887776,2,0.9986506060958649,Mid-Value Active Customers
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,51,4836,46,1,50-59,0,Recent Low-Value Customers,-2.2206810989902954,-1.2323219302674182,0,0.7443149524586872,Low-Value Customers
5899,1950,PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,75,4556,49,2,70+,4,High-Value Omnichannel Customers,-4.626809727531823,-0.5673893308689342,3,1.0,High-Value Omnichannel Customers
387,1976,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,49,5041,61,0,40-49,4,High-Value Omnichannel Customers,-2.4850783245238537,0.1399749020011669,0,0.9992487943605599,Low-Value Customers
2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,66,4674,1102,0,60-69,1,High-Value At-Risk Customers,1.435867805043929,1.5782111175660216,1,0.9996170598990023,High-Value Store Customers
8180,1952,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,73,4674,310,2,70+,5,Low-Engagement Mature Customers,0.12233671057532751,0.038700671560524265,2,0.9967049636469986,Mid-Value Active Customers
2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,38,5075,46,0,30-39,0,Recent Low-Value Customers,-2.585454463033121,-0.4830600579006077,0,0.9927563185136765,Low-Value Customers
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,79,5030,1315,0,70+,1,High-Value At-Risk Customers,3.0909875584454203,-0.7442415236700386,1,0.9813893499129756,High-Value Store Customers
9736,1980,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,45,5000,96,2,40-49,0,Recent Low-Value Customers,-1.7273953327892393,-0.17765426007937213,0,0.874024467500532,Low-Value Customers
4939,1946,Graduation,Together,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,79,5115,317,0,70+,5,Low-Engagement Mature Customers,-0.4871032153227184,-0.9025721006039736,2,0.9994622141391809,Mid-Value Active Customers
6565,1949,Master,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,76,4906,1782,1,70+,2,High-Value Store Loyalists,3.1426827301312255,0.7111358041048466,1,0.8741682565741629,High-Value Store Customers
2278,1985,2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,40,5051,133,1,30-39,4,High-Value Omnichannel Customers,-1.7243670958399901,1.1860841494162664,2,0.9912552886198891,Mid-Value Active Customers
9360,1982,Graduation,Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,43,5138,316,0,40-49,0,Recent Low-Value Customers,-1.2351261359371213,-0.6830145234246937,2,0.9983088468348891,Mid-Value Active Customers
5376,1979,Graduation,Married,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,46,4987,1730,1,40-49,0,Recent Low-Value Customers,-0.8399628174364694,0.6281014488181074,4,0.9999999999999964,High-Potential Underengaged Customers
1993,1949,PhD,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,76,5001,972,1,70+,1,High-Value At-Risk Customers,0.4498887044628707,0.456930166095337,3,1.0,High-Value Omnichannel Customers
4047,1954,PhD,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,71,4617,544,1,70+,1,High-Value At-Risk Customers,1.2845055619810426,-1.4820844561888218,2,0.7122600798136505,Mid-Value Active Customers
1409,1951,Graduation,Together,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,74,4916,444,1,70+,2,High-Value Store Loyalists,-0.27445453363563516,0.15368718507313053,2,0.996971263541025,Mid-Value Active Customers
7892,1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,56,4991,75,0,50-59,4,High-Value Omnichannel Customers,-2.017455640072153,1.2790875442905072,0,0.991293939286398,Low-Value Customers
2404,1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,49,4846,257,2,40-49,0,Recent Low-Value Customers,-0.7733759721676055,-1.7032974387905049,2,0.9991318097612298,Mid-Value Active Customers
9422,1989,Graduation,Married,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,36,4842,131,1,30-39,0,Recent Low-Value Customers,-1.097626289994286,-0.3755624639058166,2,0.5926383215407506,Mid-Value Active Customers
1966,1965,PhD,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,60,4667,1672,0,50-59,1,High-Value At-Risk Customers,2.9428545786704765,1.6105205552871231,1,0.9878802101787472,High-Value Store Customers
6864,1989,Master,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,36,4486,30,0,30-39,0,Recent Low-Value Customers,-2.0166132437265216,-0.5058110531895181,0,0.9999989739995071,Low-Value Customers
3033,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,62,4862,318,0,60-69,5,Low-Engagement Mature Customers,-0.7556063109877208,0.8179866597954233,1,0.6788138646340696,High-Value Store Customers
5710,1970,Graduation,Together,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,55,5075,120,1,50-59,0,Recent Low-Value Customers,-1.1402106022120158,-0.2715860856698252,2,0.8547861310341623,Mid-Value Active Customers
7373,1952,PhD,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,73,5056,302,2,70+,5,Low-Engagement Mature Customers,-0.2557476378296805,-1.1932127034806956,2,0.9997877072546383,Mid-Value Active Customers
8755,1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,79,4942,1196,0,70+,1,High-Value At-Risk Customers,1.1356670589451814,-1.3227275839532207,3,0.9999999999975966,High-Value Omnichannel Customers
10738,1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,74,4752,65,2,70+,5,Low-Engagement Mature Customers,-1.2355142198325375,0.4631845189258066,0,0.9615214106745763,Low-Value Customers
4339,1970,PhD,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,55,4628,913,1,50-59,3,Dormant / Disengaged Customers,2.0604167187747877,-0.22076201476782142,1,0.9970177425227924,High-Value Store Customers
10755,1976,2n Cycle,Married,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,49,4748,81,1,40-49,4,High-Value Omnichannel Customers,-2.017746042326645,0.7366930402523005,0,0.915970562893534,Low-Value Customers
